best_model,RMSE,MAE,MAPE%,state
LSTM,138427784.58,97698444.36,86.85,Alabama
LSTM,150777430.85,102952744.05,88.21,Arizona
LSTM,74013351.85,48760170.36,89.29,Arkansas
LSTM,595064532.96,410077096.98,87.68,California
LSTM,119620240.86,80355327.03,88.59,Colorado
LSTM,59860972.24,42517117.96,86.64,Connecticut
LSTM,518219492.84,359856153.94,87.52,Florida
LSTM,255748860.23,170937691.6,88.36,Georgia
LSTM,217974495.18,151647368.3,87.04,Illinois
LSTM,149628463.2,106004885.7,86.7,Indiana
LSTM,77565414.85,55164039.4,86.87,Iowa
LSTM,60226266.47,42448101.17,86.89,Kansas
LSTM,115698128.0,79108493.58,87.99,Kentucky
LSTM,124620647.62,83794863.21,88.62,Louisiana
LSTM,31995143.68,21074567.31,89.19,Maine
LSTM,110032986.21,73587698.01,88.61,Maryland
LSTM,124397303.14,82648814.75,88.61,Massachusetts
LSTM,197082153.87,136864743.32,87.42,Michigan
LSTM,103867896.87,71332959.85,87.52,Minnesota
SARIMA,79580669.94,43550761.81,87.14,Mississippi
LSTM,129503140.19,90375123.82,87.31,Missouri
LSTM,41325970.8,28297397.86,88.07,Nebraska
LSTM,68978850.18,47094089.05,87.78,Nevada
LSTM,37823816.62,25238338.84,88.95,New Hampshire
LSTM,49039954.25,34387187.17,87.04,New Mexico
LSTM,296405337.73,208513888.79,87.05,New York
LSTM,239868488.02,165226151.06,87.55,North Carolina
LSTM,252419415.93,177218848.05,87.25,Ohio
LSTM,97898083.83,67046840.14,87.91,Oklahoma
LSTM,76443109.95,49980912.98,89.54,Oregon
LSTM,245616985.74,171809793.2,87.31,Pennsylvania
LSTM,17479310.89,11779655.42,88.66,Rhode Island
LSTM,130443856.95,87525106.26,88.48,South Carolina
LSTM,19180296.24,13088471.78,88.13,South Dakota
LSTM,173789023.27,119693635.01,87.56,Tennessee
LSTM,609481092.97,431930087.82,86.66,Texas
LSTM,56705463.9,38001697.52,88.39,Utah
LSTM,12210415.51,8648861.54,86.74,Vermont
LSTM,195022647.61,142370224.35,85.57,Virginia
LSTM,125361211.31,85518825.44,88.18,Washington
LSTM,50325688.9,32998089.08,89.1,West Virginia
LSTM,105201926.05,76916509.56,85.5,Wisconsin
LSTM,14357884.3,9770190.07,88.45,Wyoming
