model,RMSE,MAE,MAPE%,state
SARIMA,142689515.68,80991076.5,93.73,Alabama
SARIMA,154124150.1,69607890.66,97.02,Arizona
SARIMA,75737373.21,34005041.59,97.09,Arkansas
SARIMA,612483639.47,266619005.19,97.61,California
SARIMA,123402136.58,70005312.99,93.84,Colorado
SARIMA,60964875.01,28186076.88,96.39,Connecticut
SARIMA,529715767.62,324211837.71,92.16,Florida
SARIMA,263489552.94,117162126.2,97.22,Georgia
SARIMA,225374481.45,127274163.57,93.78,Illinois
SARIMA,153330514.11,68332899.57,97.14,Indiana
SARIMA,79538516.12,45864503.72,93.28,Iowa
SARIMA,61560573.29,27932232.52,96.78,Kansas
SARIMA,118582914.95,53191363.0,97.12,Kentucky
SARIMA,127974398.29,72604552.0,93.5,Louisiana
SARIMA,32995891.96,14059620.83,97.97,Maine
SARIMA,112630901.79,50440572.04,96.88,Maryland
SARIMA,127376987.61,58116172.57,96.57,Massachusetts
SARIMA,201926527.46,89990520.85,97.07,Michigan
SARIMA,107691971.49,61692507.82,93.74,Minnesota
SARIMA,79580669.94,43550761.81,87.14,Mississippi
SARIMA,132571464.03,59473076.8,97.04,Missouri
SARIMA,41827661.12,23142524.33,92.69,Nebraska
SARIMA,71345914.64,30860823.58,97.85,Nevada
SARIMA,38544433.57,17470221.91,96.71,New Hampshire
SARIMA,50383111.0,22295310.96,97.34,New Mexico
SARIMA,305889448.85,172464833.11,93.97,New York
SARIMA,246267801.55,110046323.68,97.07,North Carolina
SARIMA,257870550.2,115156794.25,97.07,Ohio
SARIMA,100130031.94,45704586.03,96.79,Oklahoma
SARIMA,78092041.23,35464515.91,96.91,Oregon
SARIMA,250623365.58,113026409.29,96.81,Pennsylvania
SARIMA,17810305.29,8161735.16,96.65,Rhode Island
SARIMA,133985361.06,59802276.43,97.19,South Carolina
SARIMA,19766232.21,8486601.46,97.93,South Dakota
SARIMA,178626798.62,79566774.11,97.2,Tennessee
SARIMA,626218313.83,375465291.58,92.66,Texas
SARIMA,58697474.51,33118349.07,93.94,Utah
SARIMA,12478470.36,5635762.43,96.84,Vermont
SARIMA,199458560.49,89304141.9,97.05,Virginia
SARIMA,127944776.54,58327568.57,96.76,Washington
SARIMA,51606919.91,23534226.07,96.83,West Virginia
SARIMA,107508218.49,48323069.84,96.96,Wisconsin
SARIMA,14706367.47,8325402.98,93.45,Wyoming
